inputa[12]	inputb[12]	operation[3]	aluout[12]	overflow	carry	zero	
000000000000	000000000000	000	000000000000	0	0	1
000000000001	000000000000	000	000000000000	0	0	1
000000000010	000000000000	000	000000000000	0	0	1
000000000011	000000000000	000	000000000000	0	0	1
000000000100	000000000000	000	000000000000	0	0	1
000000000101	000000000000	000	000000000000	0	0	1
000000000110	000000000000	000	000000000000	0	0	1
000000000111	000000000000	000	000000000000	0	0	1
111111111000	000000000000	000	000000000000	0	0	1
111111111001	000000000000	000	000000000000	0	0	1
111111111010	000000000000	000	000000000000	0	0	1
111111111011	000000000000	000	000000000000	0	0	1
111111111100	000000000000	000	000000000000	0	0	1
111111111101	000000000000	000	000000000000	0	0	1
111111111110	000000000000	000	000000000000	0	0	1
111111111111	000000000000	000	000000000000	0	0	1
000000000000	000000000001	000	000000000000	0	0	1
000000000001	000000000001	000	000000000001	0	0	0
000000000010	000000000001	000	000000000000	0	0	1
000000000011	000000000001	000	000000000001	0	0	0
000000000100	000000000001	000	000000000000	0	0	1
000000000101	000000000001	000	000000000001	0	0	0
000000000110	000000000001	000	000000000000	0	0	1
000000000111	000000000001	000	000000000001	0	0	0
111111111000	000000000001	000	000000000000	0	0	1
111111111001	000000000001	000	000000000001	0	0	0
111111111010	000000000001	000	000000000000	0	0	1
111111111011	000000000001	000	000000000001	0	0	0
111111111100	000000000001	000	000000000000	0	0	1
111111111101	000000000001	000	000000000001	0	0	0
111111111110	000000000001	000	000000000000	0	0	1
111111111111	000000000001	000	000000000001	0	0	0
000000000000	000000000010	000	000000000000	0	0	1
000000000001	000000000010	000	000000000000	0	0	1
000000000010	000000000010	000	000000000010	0	0	0
000000000011	000000000010	000	000000000010	0	0	0
000000000100	000000000010	000	000000000000	0	0	1
000000000101	000000000010	000	000000000000	0	0	1
000000000110	000000000010	000	000000000010	0	0	0
000000000111	000000000010	000	000000000010	0	0	0
111111111000	000000000010	000	000000000000	0	0	1
111111111001	000000000010	000	000000000000	0	0	1
111111111010	000000000010	000	000000000010	0	0	0
111111111011	000000000010	000	000000000010	0	0	0
111111111100	000000000010	000	000000000000	0	0	1
111111111101	000000000010	000	000000000000	0	0	1
111111111110	000000000010	000	000000000010	0	0	0
111111111111	000000000010	000	000000000010	0	0	0
000000000000	000000000011	000	000000000000	0	0	1
000000000001	000000000011	000	000000000001	0	0	0
000000000010	000000000011	000	000000000010	0	0	0
000000000011	000000000011	000	000000000011	0	0	0
000000000100	000000000011	000	000000000000	0	0	1
000000000101	000000000011	000	000000000001	0	0	0
000000000110	000000000011	000	000000000010	0	0	0
000000000111	000000000011	000	000000000011	0	0	0
111111111000	000000000011	000	000000000000	0	0	1
111111111001	000000000011	000	000000000001	0	0	0
111111111010	000000000011	000	000000000010	0	0	0
111111111011	000000000011	000	000000000011	0	0	0
111111111100	000000000011	000	000000000000	0	0	1
111111111101	000000000011	000	000000000001	0	0	0
111111111110	000000000011	000	000000000010	0	0	0
111111111111	000000000011	000	000000000011	0	0	0
000000000000	000000000100	000	000000000000	0	0	1
