"","instant","dteday","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","tot"
"1",1,"2011-01-01",1,0,1,0,6,0,2,8.175849,7.99925,0.805833,10.749882,331,654,985
"2",2,"2011-01-02",1,0,1,0,0,0,2,9.083466,7.346774,0.696087,16.652113,131,670,801
"3",3,"2011-01-03",1,0,1,0,1,1,1,1.229108,-3.49927,0.437273,16.636703,120,1229,1349
"4",4,"2011-01-04",1,0,1,0,2,1,1,1.4,-1.999948,0.590435,10.739832,108,1454,1562
"5",5,"2011-01-05",1,0,1,0,3,1,1,2.666979,-0.868180000000001,0.436957,12.5223,82,1518,1600
"6",6,"2011-01-06",1,0,1,0,4,1,1,1.604356,-0.608205999999999,0.518261,6.0008684,88,1518,1606
"7",7,"2011-01-07",1,0,1,0,5,1,2,1.236534,-2.216626,0.498696,11.304642,148,1362,1510
"8",8,"2011-01-08",1,0,1,0,6,0,2,-0.244999999999999,-5.291236,0.535833,17.875868,68,891,959
"9",9,"2011-01-09",1,0,1,0,0,0,1,-1.498349,-8.33245,0.434167,24.25065,54,768,822
"10",10,"2011-01-10",1,0,1,0,1,1,1,-0.910849000000001,-6.041392,0.482917,14.958889,41,1280,1321
"11",11,"2011-01-11",1,0,1,0,2,1,2,-0.0527230000000003,-3.363376,0.686364,8.182844,43,1220,1263
"12",12,"2011-01-12",1,0,1,0,3,1,1,0.118169,-5.408782,0.599545,20.410009,25,1137,1162
"13",13,"2011-01-13",1,0,1,0,4,1,1,-0.244999999999999,-6.041722,0.470417,20.167,38,1368,1406
"14",14,"2011-01-14",1,0,1,0,5,1,1,-0.439109999999999,-3.564742,0.537826,8.478716,54,1367,1421
"15",15,"2011-01-15",1,0,1,0,6,0,2,2.966651,0.375392000000002,0.49875,10.583521,222,1026,1248
"16",16,"2011-01-16",1,0,1,0,0,0,1,2.888349,-0.541677999999999,0.48375,12.625011,251,953,1204
"17",17,"2011-01-17",1,0,1,1,1,0,2,0.264151,-4.333114,0.5375,12.999139,117,883,1000
"18",18,"2011-01-18",1,0,1,0,2,1,2,2.183349,-0.666022,0.861667,9.833925,9,674,683
